Mes,año2017,año2018,año2019,año2020,año2021
Enero,43375,55860,56274,58842,10329
Febrero,54363,65552,70479,76463,10531
Marzo ,48589,67537,70863,31821,13742
Abril ,43463,50966,52267,,12087
Mayo,36656,46215,48208,,10885
Junio,35943,43104,42891,,14762
Julio ,46447,52491,51667,,21288
Agosto,44509,52752,54055,,24136
Septiembre,37293,42106,42686,611,23952
Octubre,37897,39779,44931,3746,
Noviembre,41740,45467,48827,6589,
Diciembre,51069,52746,54764,13973,
